BruteForce,100,57158,40
QuickHull,100,2000,2
BruteForce,100,53108,38
QuickHull,100,2600,3
BruteForce,100,56122,38
QuickHull,100,2400,2
BruteForce,100,66480,45
QuickHull,100,2600,2
BruteForce,100,48304,36
QuickHull,100,1600,1
BruteForce,100,51378,36
QuickHull,100,2200,2
BruteForce,100,48982,35
QuickHull,100,2600,2
BruteForce,100,38838,29
QuickHull,100,2000,2
BruteForce,100,57174,41
QuickHull,100,2200,2
BruteForce,100,60816,49
QuickHull,100,2200,2
BruteForce,200,180670,139
QuickHull,200,4400,4
BruteForce,200,334696,235
QuickHull,200,6000,6
BruteForce,200,142486,110
QuickHull,200,6000,6
BruteForce,200,162020,127
QuickHull,200,4800,5
BruteForce,200,297686,205
QuickHull,200,6400,6
BruteForce,200,179316,139
QuickHull,200,4400,4
BruteForce,200,287576,203
QuickHull,200,5200,5
BruteForce,200,218896,161
QuickHull,200,3200,3
BruteForce,200,218660,165
QuickHull,200,6000,6
BruteForce,200,251648,177
QuickHull,200,7200,7
BruteForce,300,341466,258
QuickHull,300,9000,8
BruteForce,300,432262,316
QuickHull,300,9000,9
BruteForce,300,519570,364
QuickHull,300,9000,9
BruteForce,300,472020,336
QuickHull,300,7200,7
BruteForce,300,538870,372
QuickHull,300,10200,10
BruteForce,300,405086,297
QuickHull,300,3006900,3461
BruteForce,300,513038,359
QuickHull,300,8400,8
BruteForce,300,298250,232
QuickHull,300,7200,8
BruteForce,300,528622,371
QuickHull,300,6600,6
BruteForce,300,561836,389
QuickHull,300,7200,7
BruteForce,400,844650,603
QuickHull,400,8800,8
BruteForce,400,787208,573
QuickHull,400,11200,10
BruteForce,400,1210984,843
QuickHull,400,12800,12
BruteForce,400,1127902,781
QuickHull,400,12000,12
BruteForce,400,917700,650
QuickHull,400,11200,11
BruteForce,400,635828,479
QuickHull,400,10400,11
BruteForce,400,800988,576
QuickHull,400,8800,9
BruteForce,400,943458,673
QuickHull,400,12000,11
BruteForce,400,823368,587
QuickHull,400,10400,10
BruteForce,400,856688,606
QuickHull,400,12800,12
BruteForce,500,1086770,804
QuickHull,500,16000,16
BruteForce,500,1146496,838
QuickHull,500,19000,18
BruteForce,500,1540056,1080
QuickHull,500,15000,14
